sid,uid,pid,code_size,run_time,run_memory,when,score
337358,1888,567,1618,0,1788,2024-04-25 21:58:12.115818,100
337359,2455,564,1667,0,1708,2024-04-25 21:58:27.626997,80
337360,1888,571,908,0,1676,2024-04-25 21:59:08.960808,100
337361,1888,569,1027,0,1756,2024-04-25 21:59:47.040684,100
337362,1888,577,1641,0,1632,2024-04-25 22:00:31.221165,100
337363,1888,573,1017,0,1652,2024-04-25 22:01:10.263943,100
337364,2455,564,1633,0,1728,2024-04-25 22:01:38.275906,80
337365,1888,574,819,0,1788,2024-04-25 22:01:51.987433,100
337366,2455,564,1633,0,1784,2024-04-25 22:04:03.733841,80
337367,2455,564,1637,0,1704,2024-04-25 22:04:54.31901,80
337368,2455,564,1580,0,1720,2024-04-25 22:05:50.386452,100
337369,1396,621,1705,6546,21216,2024-04-25 22:13:46.769901,0
337370,1396,621,1731,6419,21216,2024-04-25 22:15:52.956913,33
337371,1396,621,1792,6846,21216,2024-04-25 22:20:35.588511,26
337372,1396,621,1834,6456,21216,2024-04-25 22:21:39.361116,33
337374,1396,621,1851,6502,21216,2024-04-25 22:24:24.278759,0
337376,1396,621,1946,5665,21216,2024-04-25 22:26:31.671223,100
337377,1396,621,1852,5742,21216,2024-04-25 22:27:13.644684,100
337378,878,620,8724,0,1796,2024-04-25 22:30:24.20398,100
337379,1448,621,1735,3246,18008,2024-04-25 22:37:55.91548,0
337380,1448,621,1733,321,8112,2024-04-25 22:47:13.642821,0
337381,1448,621,1731,4,1748,2024-04-25 22:49:34.234666,0
337382,1448,621,1820,330,8112,2024-04-25 22:52:36.30488,0
337383,2456,564,1603,2000,1648,2024-04-25 23:09:06.597032,60
337384,2456,564,1516,1997,1716,2024-04-25 23:12:19.103605,60
337385,2456,564,1516,1997,1632,2024-04-25 23:22:29.041837,60
337386,2456,564,1303,1998,3280,2024-04-25 23:30:13.561898,60
337387,2456,564,1330,0,1672,2024-04-25 23:34:15.942843,80
337388,2456,564,1326,2000,3280,2024-04-25 23:36:57.749409,60
337389,2456,564,1361,0,1716,2024-04-25 23:38:58.872389,80
337390,2456,564,1371,0,1704,2024-04-25 23:40:10.925009,80
337391,2456,564,1381,0,0,2024-04-25 23:41:05.460573,0
337392,1635,621,2582,13,1672,2024-04-25 23:43:15.349982,0
337393,1635,621,2584,19977,3524,2024-04-25 23:43:45.896999,33
337394,1635,621,2583,40,1696,2024-04-25 23:44:44.629737,33
337395,2456,564,1365,0,1692,2024-04-25 23:45:25.312092,80
337396,1635,621,2584,28,1732,2024-04-25 23:45:54.856497,33
337397,1635,621,2585,263,2068,2024-04-25 23:46:45.93454,33
337398,1635,621,2584,294,2616,2024-04-25 23:47:08.182671,33
337399,1635,621,2584,19948,3912,2024-04-25 23:47:31.016123,33
337400,1635,621,2584,19957,3912,2024-04-25 23:49:05.340426,33
337401,1635,621,2584,312,2660,2024-04-25 23:49:35.143562,33
337403,2456,564,1394,0,1628,2024-04-25 23:49:51.493474,0
337402,1635,621,2584,4254,3788,2024-04-25 23:49:50.42766,33
337404,1635,621,2584,317,2672,2024-04-25 23:50:11.098788,33
337405,1635,621,2222,19976,3976,2024-04-25 23:51:36.458341,0
337406,2456,564,1358,0,1704,2024-04-25 23:56:28.637346,80
337407,2456,564,1381,3,1636,2024-04-26 00:00:39.383978,80
337408,2412,564,1526,0,1708,2024-04-26 00:11:11.19591,60
337409,2519,569,1832,0,0,2024-04-26 00:15:49.00391,0
337410,2513,569,1654,0,1760,2024-04-26 09:04:53.958239,100
337411,2638,577,516,0,1612,2024-04-26 09:05:05.850801,100
337412,2638,577,547,0,1784,2024-04-26 09:05:58.714316,100
337413,2638,577,574,0,1760,2024-04-26 09:06:35.831604,100
337414,2638,577,575,0,1600,2024-04-26 09:07:01.485345,100
337415,2638,577,574,0,1792,2024-04-26 09:09:08.201534,100
337417,2638,577,554,0,1716,2024-04-26 09:12:01.412674,100
337418,1618,621,1903,930,11324,2024-04-26 09:12:40.145092,100
337419,2638,577,523,0,1636,2024-04-26 09:12:44.452615,100
337420,2513,571,733,0,1728,2024-04-26 09:41:04.473866,100
337421,1618,621,2013,4590,265864,2024-04-26 09:56:37.949627,33
337422,1618,621,2057,6731,265872,2024-04-26 09:59:30.117752,33
337423,1618,621,1842,399,28212,2024-04-26 10:07:46.115246,0
337424,1618,621,1929,4571,253568,2024-04-26 10:16:24.559892,60
337425,1618,621,1912,4062,253564,2024-04-26 10:20:47.749949,60
337426,1545,621,1793,11,2000,2024-04-26 10:44:49.08516,0
337427,1618,621,1974,4115,253568,2024-04-26 10:47:54.892002,53
337428,1545,621,1776,4053,14192,2024-04-26 10:59:19.464279,0
337429,1448,621,1595,3282,18008,2024-04-26 10:59:24.721633,100
337430,1545,621,1783,4012,14192,2024-04-26 11:00:49.194847,33
337431,1545,621,1783,4012,14192,2024-04-26 11:01:20.780443,33
337432,1448,621,1820,347,12896,2024-04-26 11:01:48.397187,0
337433,1545,621,1783,4076,14192,2024-04-26 11:02:14.157784,100
337434,1448,621,1595,3382,18008,2024-04-26 11:04:52.863051,100
337435,1280,621,424,19958,3192,2024-04-26 11:56:24.175433,33
337436,1280,621,1883,958,315228,2024-04-26 12:20:59.232285,0
337437,1280,621,1883,47,5084,2024-04-26 12:21:46.459101,33
337438,1280,621,1883,409,33976,2024-04-26 12:22:08.938789,100
337439,1802,621,907,19952,3136,2024-04-26 12:47:40.023788,33
337440,1802,621,907,19956,3136,2024-04-26 12:47:54.745131,33
337441,1802,621,907,19954,3132,2024-04-26 12:48:13.486688,33
337442,1802,621,2417,3604,40064,2024-04-26 12:51:55.233614,100
337443,1618,621,1896,5961,253568,2024-04-26 13:10:26.960001,100
337445,2281,563,877,0,1636,2024-04-26 14:48:46.616044,100
337446,2456,564,1382,0,1700,2024-04-26 15:49:57.329927,80
337447,2871,569,1726,0,1672,2024-04-26 15:57:26.137423,40
337448,2412,564,1377,0,1788,2024-04-26 16:10:28.148275,80
337449,672,570,1454,0,1764,2024-04-26 16:13:20.280877,100
337450,672,575,1680,0,1764,2024-04-26 16:13:55.010754,100
337451,2412,564,1578,0,1788,2024-04-26 16:14:28.609438,80
337452,2412,564,1605,0,1716,2024-04-26 16:17:08.228001,80
337453,2412,564,1581,0,1740,2024-04-26 16:23:28.26427,80
337454,2412,564,1604,0,1672,2024-04-26 16:24:24.220423,80
337455,672,577,638,0,1720,2024-04-26 16:33:17.197504,100
337456,2590,570,1363,0,1668,2024-04-26 16:44:02.96061,100
337457,2871,569,1753,0,1712,2024-04-26 16:52:54.100424,40
337458,2871,569,1774,0,1784,2024-04-26 16:55:39.725069,40
337459,2412,564,1434,0,1676,2024-04-26 16:55:56.361169,100
337460,2412,564,1475,0,1668,2024-04-26 16:57:38.571467,80
337461,2456,564,1411,0,1704,2024-04-26 17:01:13.896765,100
337462,672,573,832,0,1788,2024-04-26 17:06:29.182656,50
337463,2871,569,1881,0,1792,2024-04-26 17:07:41.622719,40
337464,2871,569,1882,0,1676,2024-04-26 17:11:50.37964,100
337465,672,573,858,0,1728,2024-04-26 17:12:14.743312,50
337466,672,573,534,0,1740,2024-04-26 17:15:11.208843,100
337467,672,573,893,0,1716,2024-04-26 17:17:25.908504,100
337468,2590,575,1463,0,1628,2024-04-26 17:20:59.907896,20
337469,672,574,642,0,1636,2024-04-26 17:27:48.067033,100
337470,2412,567,2331,4,1636,2024-04-26 17:29:25.422425,0
337471,672,571,941,0,1704,2024-04-26 17:39:33.163333,100
337472,2590,575,1431,0,1672,2024-04-26 17:40:35.037868,20
337473,672,564,2364,0,1636,2024-04-26 17:40:48.41836,100
337474,2844,571,599,0,1672,2024-04-26 17:55:55.194541,100
337475,2373,573,890,0,1748,2024-04-26 18:21:45.648337,100
337476,1699,620,6995,0,0,2024-04-26 18:34:27.681476,0
337477,2345,570,144,0,1676,2024-04-26 18:41:21.482281,20
337478,2376,569,1480,0,1744,2024-04-26 18:43:05.642623,0
337479,1699,620,7049,0,0,2024-04-26 18:43:55.111058,0
337480,2294,570,1037,0,1672,2024-04-26 18:48:29.535362,80
337481,2294,570,1195,0,1788,2024-04-26 18:50:19.480338,100
337482,2376,569,1800,0,0,2024-04-26 18:52:22.114181,0
337483,2844,570,753,0,1640,2024-04-26 19:00:37.989163,80
337484,2283,570,720,0,1764,2024-04-26 19:01:17.821124,80
337485,2844,570,817,0,1764,2024-04-26 19:02:39.729614,100
337486,2547,573,929,0,1748,2024-04-26 19:05:03.215161,100
337487,2283,570,860,0,1704,2024-04-26 19:06:01.639468,100
337488,2202,570,944,0,1824,2024-04-26 19:09:24.584359,100
337489,2251,570,1273,0,1788,2024-04-26 19:10:22.669378,100
337490,2292,570,1037,0,1636,2024-04-26 19:13:35.029002,80
337491,2256,570,1213,0,1672,2024-04-26 19:14:30.165757,100
337492,2270,570,1215,0,1708,2024-04-26 19:14:41.185924,100
337495,2292,570,1049,0,1824,2024-04-26 19:16:30.792292,80
337496,2338,570,1056,0,0,2024-04-26 19:17:29.189289,0
337497,2871,571,959,0,1784,2024-04-26 19:18:09.988131,100
337498,2292,570,1103,0,1684,2024-04-26 19:18:35.350598,80
337499,2314,570,1231,0,1664,2024-04-26 19:18:37.995919,100
337500,2350,570,1297,0,1792,2024-04-26 19:18:49.605168,20
337501,2319,570,1021,0,1712,2024-04-26 19:19:02.180234,100
337503,2373,575,862,0,1716,2024-04-26 19:20:35.23424,20
337504,2350,570,1297,0,1636,2024-04-26 19:21:04.228605,80
337505,2292,570,1150,0,1720,2024-04-26 19:22:09.463399,100
337507,2338,570,1061,0,1728,2024-04-26 19:24:31.036493,60
337508,2379,573,876,0,1776,2024-04-26 19:25:09.557042,33
337509,2292,570,1110,0,1792,2024-04-26 19:26:05.651817,100
337510,2379,573,875,0,1736,2024-04-26 19:26:47.807392,50
337511,2350,570,1298,0,1716,2024-04-26 19:26:55.171965,100
337513,2373,575,883,0,1636,2024-04-26 19:28:22.553604,20
337514,2338,570,1231,2,1696,2024-04-26 19:28:30.841023,60
337515,2393,570,1039,0,1708,2024-04-26 19:28:51.245044,60
337516,2019,570,987,0,1764,2024-04-26 19:29:11.037166,80
337517,2268,570,908,0,1708,2024-04-26 19:30:40.7581,100
337518,2386,570,1390,0,1716,2024-04-26 19:30:58.463958,100
337519,2373,575,1606,0,0,2024-04-26 19:31:40.862082,0
337520,2379,573,911,2,1864,2024-04-26 19:32:15.952995,50
337521,2379,573,911,2,1856,2024-04-26 19:33:10.4532,50
337522,2393,570,1237,0,1704,2024-04-26 19:33:28.782891,60
337523,2388,570,1311,0,0,2024-04-26 19:34:16.982768,0
337524,2324,570,928,0,1676,2024-04-26 19:34:41.698496,60
337525,2369,570,1062,0,0,2024-04-26 19:34:51.414383,0
337526,2373,575,948,2089,1708,2024-04-26 19:34:52.459165,20
337527,2388,570,1192,0,0,2024-04-26 19:35:43.858925,0
337528,2373,575,939,1341,1704,2024-04-26 19:36:42.943748,20
337529,2393,570,1271,0,1636,2024-04-26 19:36:59.657706,80
337531,2324,570,1163,0,1764,2024-04-26 19:37:57.854768,80
337530,2373,575,943,1406,1708,2024-04-26 19:37:55.340857,20
337532,2338,570,1285,0,1720,2024-04-26 19:38:19.875217,60
337533,2373,575,955,0,1628,2024-04-26 19:38:49.708307,60
337534,2338,570,1284,0,1712,2024-04-26 19:39:10.484519,60
337535,2393,570,1270,0,1704,2024-04-26 19:39:36.698145,100
337536,2324,570,1196,0,1784,2024-04-26 19:39:42.009055,60
337537,2388,570,1396,0,0,2024-04-26 19:40:20.379551,0
337538,2324,570,1190,0,1672,2024-04-26 19:40:37.727067,80
337539,2368,570,1193,0,1716,2024-04-26 19:40:47.327899,80
337540,2324,570,1358,0,1660,2024-04-26 19:41:39.566081,100
337541,2338,570,1301,0,1636,2024-04-26 19:42:37.217343,80
337542,2392,570,965,0,1788,2024-04-26 19:43:15.098921,80
337543,2164,570,784,2,1720,2024-04-26 19:43:54.118181,20
337544,2338,570,1289,0,1716,2024-04-26 19:45:06.152583,80
337545,2345,570,1196,0,1712,2024-04-26 19:45:12.770141,80
337546,2373,575,956,0,0,2024-04-26 19:45:23.288771,0
337547,2392,570,1056,0,1820,2024-04-26 19:45:43.902706,80
337548,2368,570,1362,0,1712,2024-04-26 19:45:46.191351,100
337549,2288,570,1025,0,1680,2024-04-26 19:46:02.300075,100
337550,2373,575,956,0,1720,2024-04-26 19:46:42.538979,60
337551,2392,570,1062,0,1796,2024-04-26 19:46:53.933768,80
337552,2345,570,1267,0,1672,2024-04-26 19:47:23.15205,60
337553,2288,570,1037,0,1732,2024-04-26 19:47:30.594805,100
337554,2392,570,1108,0,1636,2024-04-26 19:48:17.166807,80
337555,2373,575,1027,0,1784,2024-04-26 19:48:49.814713,100
337556,2392,570,1176,0,1796,2024-04-26 19:50:22.053878,80
337557,2379,573,921,0,1648,2024-04-26 19:50:50.397451,50
337558,2325,570,1338,0,1732,2024-04-26 19:51:24.294203,20
337559,2250,570,1086,0,1720,2024-04-26 19:51:32.896019,80
337560,2392,570,1251,0,1636,2024-04-26 19:52:01.290723,100
337561,2338,570,1277,0,1636,2024-04-26 19:52:10.385,60
337562,2339,573,850,0,0,2024-04-26 19:52:49.816106,0
337563,2144,569,1442,0,1732,2024-04-26 19:52:57.26222,60
337564,2379,573,942,0,1812,2024-04-26 19:53:00.952974,100
337565,2325,570,1483,0,1788,2024-04-26 19:54:51.676094,100
337566,2345,570,1217,0,1712,2024-04-26 19:55:59.603859,100
337567,2144,569,1528,0,1676,2024-04-26 19:56:27.656825,100
337568,2338,570,1317,0,0,2024-04-26 19:57:21.216962,0
337569,2338,570,1336,0,1672,2024-04-26 19:57:59.119152,40
337570,2338,570,1334,0,1720,2024-04-26 20:00:13.289803,80
337571,2402,570,1115,0,1672,2024-04-26 20:01:45.861855,100
337572,2342,570,999,0,1640,2024-04-26 20:02:40.1266,80
337573,2402,570,1154,0,1640,2024-04-26 20:03:38.202587,100
337574,2338,570,1296,0,1668,2024-04-26 20:04:01.185537,60
337575,2250,570,1240,0,1712,2024-04-26 20:04:01.347067,20
337576,1811,570,1195,0,1708,2024-04-26 20:04:18.868784,80
337577,2019,570,983,0,1820,2024-04-26 20:05:07.435561,80
337578,2338,570,1297,0,1672,2024-04-26 20:05:15.210906,80
337579,2019,570,987,0,1716,2024-04-26 20:06:42.835637,80
337580,2250,570,1139,0,1768,2024-04-26 20:08:10.895685,100
337581,2019,570,1001,1,1788,2024-04-26 20:09:02.406741,80
337582,2019,570,1053,0,1636,2024-04-26 20:10:28.025113,80
337583,2305,570,1354,0,1712,2024-04-26 20:10:45.424256,80
337585,2411,567,2416,0,0,2024-04-26 20:10:55.945332,0
337584,2342,570,982,0,1712,2024-04-26 20:10:48.712734,60
337586,1811,570,1262,0,1728,2024-04-26 20:11:30.510889,80
337587,2019,570,1090,0,1744,2024-04-26 20:12:06.806096,80
337590,2373,574,758,0,1756,2024-04-26 20:12:40.326943,100
337588,2342,570,992,0,1716,2024-04-26 20:12:17.587696,80
337589,2305,570,1300,0,1820,2024-04-26 20:12:27.034598,60
337591,2019,570,1125,0,1784,2024-04-26 20:12:46.77259,80
337592,1811,570,1324,0,1724,2024-04-26 20:13:12.978084,80
337593,2373,574,774,0,1720,2024-04-26 20:13:28.181701,100
337594,2019,570,1131,0,1704,2024-04-26 20:13:34.07875,80
337596,2019,570,1135,0,1688,2024-04-26 20:15:23.359389,80
337597,2547,577,606,0,1824,2024-04-26 20:15:28.74067,100
337598,1811,570,1326,0,1824,2024-04-26 20:15:42.707901,100
337599,2342,570,1076,0,1736,2024-04-26 20:16:35.758636,40
337600,2256,566,1603,0,1716,2024-04-26 20:17:13.780453,100
337601,2358,570,1007,0,1716,2024-04-26 20:17:14.324162,80
337602,2019,570,1040,0,1704,2024-04-26 20:18:18.0017,100
337603,2338,570,1212,0,1728,2024-04-26 20:18:48.883254,100
337604,2358,570,1016,0,1788,2024-04-26 20:19:21.445529,40
337605,2358,570,1014,0,1672,2024-04-26 20:19:52.863182,40
337606,2342,570,1105,0,1664,2024-04-26 20:19:55.584073,80
337607,2789,570,1454,0,1720,2024-04-26 20:22:17.203473,100
337608,2342,570,1148,0,1824,2024-04-26 20:22:47.457757,100
337609,2358,570,1097,0,1636,2024-04-26 20:22:55.163236,60
337610,2318,567,2757,0,1636,2024-04-26 20:23:08.689038,100
337611,2338,570,1146,0,0,2024-04-26 20:23:50.489316,0
337612,2358,570,1773,0,1784,2024-04-26 20:24:02.252202,60
337613,2358,570,2102,0,1668,2024-04-26 20:24:44.857059,60
337614,2338,570,1150,0,1640,2024-04-26 20:24:48.273363,40
337615,2338,570,1173,0,1640,2024-04-26 20:27:41.321063,40
337616,2385,570,1376,0,1756,2024-04-26 20:28:02.413341,20
337617,2358,570,1197,0,1760,2024-04-26 20:28:07.486895,60
337618,2279,570,1324,0,1636,2024-04-26 20:28:37.427336,40
337619,2314,571,816,0,1720,2024-04-26 20:28:44.228552,100
337620,2338,570,1163,0,1636,2024-04-26 20:29:18.921344,100
337621,2358,570,1226,0,1728,2024-04-26 20:29:49.067802,80
337622,2358,570,1225,0,1760,2024-04-26 20:30:15.092128,60
337623,2019,571,762,0,1764,2024-04-26 20:30:45.131935,100
337624,2358,570,1228,0,1712,2024-04-26 20:31:45.57394,100
337625,2279,570,1342,0,1820,2024-04-26 20:32:32.177176,100
337626,2358,570,1226,0,1636,2024-04-26 20:33:45.08105,100
337627,2411,567,2420,0,0,2024-04-26 20:34:00.870753,0
337628,2411,567,2431,0,0,2024-04-26 20:35:03.928446,0
337629,2358,570,1245,0,1636,2024-04-26 20:38:23.111701,100
337630,2278,570,931,0,1672,2024-04-26 20:41:47.716648,80
337631,2278,570,1126,0,1792,2024-04-26 20:43:56.087335,100
337632,2406,570,957,0,1636,2024-04-26 20:44:49.814638,80
337633,2406,570,952,0,1788,2024-04-26 20:45:54.49491,60
337634,2406,570,957,0,1728,2024-04-26 20:46:31.525402,80
337635,2406,570,987,0,1672,2024-04-26 20:49:39.215646,80
337637,2411,567,2458,0,0,2024-04-26 20:53:49.745251,0
337638,2411,567,2453,0,0,2024-04-26 21:00:54.861307,0
337639,2019,569,985,0,1636,2024-04-26 21:01:41.504582,100
337640,2378,570,997,0,1784,2024-04-26 21:03:33.233539,80
337641,2388,570,1402,0,0,2024-04-26 21:07:19.140489,0
337642,2373,576,2124,0,0,2024-04-26 21:09:10.828032,0
337643,2342,571,998,0,1636,2024-04-26 21:09:22.721649,100
337644,2373,576,2164,0,0,2024-04-26 21:10:25.660424,0
337645,2342,571,1048,0,1720,2024-04-26 21:10:56.757428,100
337646,2388,570,1429,0,0,2024-04-26 21:11:29.549137,0
337647,2270,571,945,0,1760,2024-04-26 21:17:36.259855,100
337648,2342,569,1069,0,1712,2024-04-26 21:21:15.58957,100
337649,2270,571,977,0,1636,2024-04-26 21:24:09.707104,100
337650,2872,572,1330,0,1636,2024-04-26 21:24:39.459859,100
337651,2342,575,2903,0,1628,2024-04-26 21:27:57.794926,100
337652,2144,571,930,1,1636,2024-04-26 21:28:19.948799,100
337653,2395,570,925,0,1720,2024-04-26 21:29:01.83598,80
337654,2395,570,994,0,1636,2024-04-26 21:30:54.124551,100
337655,2602,571,344,6,5528,2024-04-26 21:49:13.992903,0
337656,2602,571,314,0,1636,2024-04-26 21:50:44.30605,100
337657,2305,570,1533,0,1768,2024-04-26 21:51:51.531545,0
337658,2411,567,3448,0,1784,2024-04-26 21:53:42.701876,100
337659,2411,567,2443,0,0,2024-04-26 21:54:47.80919,0
337660,2305,570,1411,0,1820,2024-04-26 21:57:26.103947,100
337666,2590,571,1018,0,1788,2024-04-26 22:47:06.309122,0
337667,2590,571,1017,0,1768,2024-04-26 22:47:37.613532,100
337668,1206,620,6195,0,0,2024-04-26 23:02:59.622603,0
337671,1206,620,6195,0,0,2024-04-26 23:04:43.313212,0
337673,2411,567,2502,0,0,2024-04-26 23:27:04.843262,0
337675,2411,567,2500,0,1720,2024-04-26 23:44:02.469209,100
337677,1513,620,8724,5,1708,2024-04-27 02:12:13.39228,100
337690,1861,564,1990,0,1708,2024-04-27 03:32:33.920862,40
337692,1861,571,1785,10,1900,2024-04-27 03:37:32.288067,0
337693,1861,569,2032,0,1636,2024-04-27 03:39:33.379072,0
337694,1861,573,2162,0,1752,2024-04-27 03:41:25.323674,100
337695,1861,574,1293,0,1764,2024-04-27 03:43:48.845535,100
337696,1861,564,1848,0,1748,2024-04-27 03:45:39.420985,40
337697,1861,567,3047,0,0,2024-04-27 03:48:32.504868,0
337698,1568,621,1656,3157,22952,2024-04-27 09:10:26.804866,0
337699,1568,621,1646,3333,22952,2024-04-27 09:10:58.168079,100
337700,2302,570,1620,0,1676,2024-04-27 10:11:09.407456,100
337701,2003,573,981,0,1728,2024-04-27 10:11:43.974572,100
337702,2590,566,1556,1,1716,2024-04-27 11:04:44.291499,0
337703,2590,575,1036,0,1760,2024-04-27 11:34:00.182446,40
337704,1889,620,9850,11,5496,2024-04-27 11:45:11.584559,0
337705,1889,620,9854,10,5520,2024-04-27 11:51:41.694116,0
337706,1889,620,9821,0,1788,2024-04-27 11:58:27.171333,100
337707,2590,569,2338,0,1680,2024-04-27 12:30:26.092497,80
337708,2590,569,2293,0,0,2024-04-27 12:32:12.596531,0
337709,2590,569,2293,0,1772,2024-04-27 12:32:29.302094,80
337710,2590,569,2321,0,1796,2024-04-27 12:37:53.10196,60
337711,2590,569,2305,0,1672,2024-04-27 12:51:38.268624,100
337712,2003,574,1113,0,0,2024-04-27 13:12:48.207841,0
337713,2003,574,1132,0,1708,2024-04-27 13:15:50.413118,100
337714,2003,574,1186,0,1716,2024-04-27 13:16:55.631192,100
337715,1206,620,6377,10,5536,2024-04-27 13:47:46.406127,0
337716,1206,620,6245,12,5512,2024-04-27 14:11:32.040876,0
337717,1206,620,6227,0,1808,2024-04-27 14:12:10.744312,0
337718,1206,620,6343,10,5520,2024-04-27 14:13:08.168748,0
337719,1206,620,6343,10,5520,2024-04-27 14:15:32.915892,0
337720,1273,620,6348,0,0,2024-04-27 14:44:09.561229,0
337721,1273,620,6237,1,1716,2024-04-27 14:47:27.803445,0
337722,1273,620,6237,0,1676,2024-04-27 14:48:32.998675,0
337723,1273,620,6285,0,1876,2024-04-27 14:51:51.06351,0
337724,1273,620,6248,236,8032,2024-04-27 14:54:23.74751,100
337725,1206,620,7764,9,5504,2024-04-27 14:57:31.322463,0
337726,2356,564,1576,0,1712,2024-04-27 15:08:23.583254,80
337727,1206,620,8063,9,5544,2024-04-27 15:09:12.164231,0
337728,1206,620,9936,27,5544,2024-04-27 15:11:02.117534,0
337729,1206,620,6343,27,5544,2024-04-27 15:22:52.758261,0
337731,1206,620,7784,32,5536,2024-04-27 15:29:41.11785,0
337732,2356,571,993,0,1636,2024-04-27 15:34:22.200286,100
337733,1889,620,3770,99,7304,2024-04-27 15:42:47.73634,0
337734,1889,620,3606,118,7336,2024-04-27 15:48:39.775764,0
337735,1889,620,3597,0,1816,2024-04-27 15:49:53.442413,0
337736,579,620,7766,0,1788,2024-04-27 15:55:31.946491,100
337737,1889,620,3551,0,1704,2024-04-27 15:56:07.702634,0
337738,1206,620,7766,0,1788,2024-04-27 15:58:27.044716,100
337739,2356,573,1137,0,0,2024-04-27 16:01:43.961632,0
337740,2356,573,1138,0,1808,2024-04-27 16:03:07.318896,100
337741,1273,620,6318,0,1908,2024-04-27 16:27:49.37122,0
337742,2519,569,1881,0,0,2024-04-27 16:33:55.073964,0
337743,1889,620,3768,0,1864,2024-04-27 16:34:55.813299,0
337744,2519,569,1913,0,0,2024-04-27 16:37:04.150328,0
337745,1669,620,8149,0,0,2024-04-27 16:41:52.234521,0
337747,2519,569,1216,1,1788,2024-04-27 17:21:52.347931,0
337748,2519,569,1057,0,1620,2024-04-27 17:23:46.369947,0
337749,2519,569,1138,4,1896,2024-04-27 17:25:05.58012,0
337750,2519,569,1468,0,1680,2024-04-27 17:27:52.508957,100
337751,1669,620,4434,0,0,2024-04-27 17:36:23.401898,0
337752,1669,620,4426,92,7340,2024-04-27 17:43:13.131963,0
337753,2412,567,2468,0,1720,2024-04-27 18:00:12.532629,100
337754,2412,567,2615,0,0,2024-04-27 18:05:43.600814,0
337755,2412,567,2477,0,1632,2024-04-27 18:08:29.738556,100
337756,2456,567,1782,0,1716,2024-04-27 18:21:42.182198,100
337757,1371,621,3542,3611,18004,2024-04-27 18:42:16.037173,0
337758,1371,621,3548,3611,18004,2024-04-27 18:43:57.368034,0
337759,1371,621,3645,3603,18004,2024-04-27 18:51:48.512218,0
337760,2789,564,1576,0,1764,2024-04-27 18:51:55.473522,80
337761,1371,621,3531,3626,18004,2024-04-27 19:07:54.896163,0
337762,2625,564,920,2389,1644,2024-04-27 19:17:56.773268,40
337763,2625,564,972,2378,1648,2024-04-27 19:21:16.412534,40
337764,1371,621,3551,3620,18004,2024-04-27 19:22:20.293649,100
337765,2625,564,849,542,1692,2024-04-27 19:23:24.135325,40
337766,2789,564,1591,0,1668,2024-04-27 19:32:37.990401,80
337767,2789,564,1577,0,1768,2024-04-27 19:33:00.153261,100
337768,2789,564,1573,0,1636,2024-04-27 19:34:20.90424,100
337769,2789,564,1636,0,1636,2024-04-27 19:36:25.538425,80
337770,2789,564,1573,0,1784,2024-04-27 19:39:00.600914,100
337771,2625,564,929,230,1672,2024-04-27 19:39:41.366977,80
337772,2625,564,962,270,1716,2024-04-27 19:44:17.169898,80
337773,2625,564,955,254,1764,2024-04-27 19:48:45.973631,80
337774,1273,620,6364,0,1756,2024-04-27 19:53:35.238523,0
337775,1273,620,6346,1,1760,2024-04-27 19:55:14.096058,0
337776,1273,620,6360,1,1768,2024-04-27 19:56:48.202576,0
337777,1273,620,6436,0,1844,2024-04-27 19:59:25.144627,0
337778,1273,620,6356,1,1764,2024-04-27 20:00:49.725528,0
337779,1273,620,335,1,1800,2024-04-27 20:01:40.7205,0
337780,1273,620,6348,0,1764,2024-04-27 20:02:34.091285,0
337781,2347,567,2982,0,1720,2024-04-27 20:13:37.265727,0
337782,2625,569,1009,3,1900,2024-04-27 20:26:39.148756,60
337783,2625,569,1028,4,1896,2024-04-27 20:33:23.909541,60
337784,2538,569,1489,0,1672,2024-04-27 20:36:32.410712,20
337785,2538,569,1465,0,1764,2024-04-27 20:41:19.187497,20
337786,2538,569,1539,0,1676,2024-04-27 20:45:52.140826,0
337787,2538,569,1546,0,1784,2024-04-27 20:50:26.88742,20
