pid,psid,title,submit_ac,submit_all,cases,time_limit,memory_limit,owner_id
569,81,C++ 第八章（类的继承）,880,3330,5,1000,65536,1028
577,81,C++ 第九章（STL基本操作）,501,928,5,1000,65536,1028
574,81,C++ 第九章（类模板和元素排序）,881,1745,5,1000,65536,1028
594,84,拓扑排序,225,2181,13,10,4096,432
571,81,C++ 第八章（多态）,889,1348,5,1000,65536,1028
565,81,练习四 学生成绩,400,1093,5,1000,65536,1028
564,81,练习三 链表,967,3281,5,1000,65536,1028
579,82,稳定匹配,250,559,13,1000,8096,4
567,81,C++ 第七章（运算符重载）,912,3078,5,1000,65536,1028
563,81,练习一 矩阵运算,612,953,5,1000,65536,1028
606,88,磁带存储,274,568,18,100,40960,12
572,81,模拟题二 继承和多态,402,1007,6,1000,65536,1028
570,81,练习题12（非作业）,287,944,5,1000,65536,1028
576,81,模拟题三 模板类,430,1167,5,1000,65536,1028
562,81,练习二 字符串压缩,488,1130,6,1000,65536,1028
573,81,C++ 第九章（函数模板）,861,2268,6,1000,65536,1028
566,81,模拟题一 链表,566,1236,5,1000,65536,1028
568,81,练习题11（非作业）,366,627,5,1000,65536,1028
605,87,SPN加解密,75,287,11,100,81920,12
621,91,快速傅里叶变换,354,1272,15,1000,262144,432
635,98,B卷第一题-求圆形的周长和面积,385,897,10,10000,262144,1542
631,95,飞行员配对方案问题,281,685,13,1000,262144,432
640,98,A卷第四题-队列,36,779,10,1000,262144,1542
632,96,素性测试,59,419,20,1000,80000,4
624,92,Small RSA,49,450,13,10,4096,4
638,98,A卷第三题-链表,16,1184,10,1000,65536,1542
575,81,练习题13（非作业）,323,922,5,1000,65536,1028
620,90,AES Implementation,60,253,11,100,81920,4
628,94,第一题,632,3369,5,1000,65536,4
630,94,第三题,525,1666,6,1000,65536,4
625,93,分段最优直线拟合,303,1056,20,1000,262144,4
636,98,A卷第二题-计算购买的水果价格,280,1282,10,1000,262144,1542
629,94,第二题,678,1516,5,1000,65536,4
642,98,附加题：C--,7,51,20,1000,262144,4
637,98,B卷第二题-计算购买的水果价格,240,1510,10,1000,262144,1542
634,98,A卷第一题-求长方形的周长和面积,372,908,10,1000,262144,1542
633,97,椭圆曲线点乘,54,585,13,2000,10000,4
639,98,B卷第三题-链表,14,1136,10,1000,262144,1542
641,98,B卷第四题-队列,43,818,10,1000,262144,1542
