psid,title,description,cid,owner_id,start_time,end_time
87,第一次作业,SPN加解密,14,12,2024-03-29 00:00:00,2024-04-10 23:59:59
90,第二次作业,AES,14,12,2024-04-19 00:00:00,2024-04-30 23:59:59
91,FFT,算法导论第四次作业,13,12,2024-04-24 00:00:00, 2024-05-12 23:59:59
92,第三次作业,RSA实现,14,12,2024-05-10 00:00:00, 2024-05-26 23:59:59
93,分段最优直线拟合,算法导论第五次作业,13,12,2024-05-15 00:00:00, 2024-05-26 23:59:59
95,飞行员配对问题,算法导论第六次作业,13,12,2024-05-29 00:00:00, 2024-06-09 23:59:59
81,练习题集,高级语言程序设计2-2 练习题,12,4,2024-02-22 00:00:00, 2024-06-30 23:59:59
82,稳定匹配,算法导论第一次作业,13,12,2024-03-06 00:00:00, 2024-03-24 23:59:59
84,拓扑排序,算法导论第二次作业,13,12,2024-03-27 00:00:00, 2024-04-07 23:59:59
88,磁带存储,算法导论第三次作业,13,12,2024-04-10 00:00:00, 2024-04-21 23:59:59
96,第四次作业,素性测试,14,12,2024-05-31 00:00:00, 2024-06-08 23:59:59
97,第五次作业,椭圆曲线点乘,14,12,2024-06-07 00:00:00, 2024-06-15 23:59:59
94,高级语言程序设计2-2 模拟测验练习,高级语言程序设计2-2 模拟测验练习,12,4,2024-05-31 18:30:00, 2024-06-30 21:29:59
98,高级语言程序设计2-2上机考试,高级语言程序设计2-2上机考试,12,4,2024-06-13 14:00:00, 2024-06-13 17:14:59
