"cid","uid"
12,1319
12,2611
12,2450
13,2026
13,1915
13,1148
13,1371
13,1547
13,1802
13,1540
13,1538
13,1576
13,1827
13,1632
13,1559
13,1579
13,1396
13,1545
13,1357
13,1638
13,1515
13,1510
13,1635
13,544
13,1404
13,1277
13,1223
13,1664
13,1184
13,1914
13,1681
13,1561
13,1671
13,2875
13,1230
13,1310
13,1448
13,2085
13,1917
13,1434
13,990
13,1466
13,1488
13,1597
13,1666
13,1568
13,1629
13,1832
13,1439
13,1574
13,432
13,1464
13,1499
13,1188
13,1403
13,1822
13,1501
13,2135
13,1177
13,1839
13,1280
13,1801
13,1749
13,1788
13,1548
13,1628
13,1689
13,2876
13,1162
13,1181
13,2877
13,1543
13,1323
13,1296
13,1683
13,2659
12,2634
13,1838
12,2755
13,2119
13,1874
13,2003
13,1542
13,1174
13,1186
13,1455
13,1630
13,1789
13,1541
13,1618
13,1535
13,1862
13,1472
13,1372
13,1850
13,1345
13,1592
13,1165
13,1793
13,1599
13,2842
13,1598
13,1397
13,1809
13,1449
13,1756
13,1302
13,1454
13,1300
13,1236
13,1908
13,1631
13,1224
13,1276
13,4
13,1546
12,1850
13,1567
13,1600
13,1704
13,1707
13,1326
13,1551
13,1233
13,1739
13,1621
13,1508
13,1798
13,1550
13,1263
13,1702
13,1856
13,1460
13,1670
13,1570
13,1382
13,1977
13,1229
13,1211
13,2549
13,1591
13,2878
13,1376
13,1478
13,1820
13,1705
13,1483
13,992
13,2541
13,1179
13,1202
13,996
13,1150
13,1831
13,1636
12,2719
12,2564
13,1590
12,1361
12,1789
12,1271
12,2753
13,12
12,1995
12,2408
12,2306
12,2309
12,2084
13,1411
12,823
12,2782
12,1398
12,2544
12,2097
12,1489
13,950
13,954
13,784
13,158
12,2349
12,2842
12,1654
13,2088
14,4
14,432
14,579
12,1733
14,12
13,1648
14,1451
13,1795
13,1209
14,1158
14,1952
14,1812
14,1513
14,1405
14,1206
14,1686
14,1714
14,1213
14,1532
14,1491
14,1393
14,1562
14,1623
14,1149
14,1208
14,1273
14,1699
14,1432
14,1935
14,1338
14,1647
14,1645
14,2782
14,1669
14,1384
14,1889
14,878
14,1452
14,1274
14,1575
14,1748
14,1888
14,1320
12,2281
12,1780
12,1888
12,1017
12,2199
12,2748
12,2612
14,289
12,951
12,1915
12,1783
14,580
12,2210
12,2876
14,5
12,2762
12,2887
12,1812
12,2881
12,1877
12,2156
12,858
12,2658
12,1344
12,1430
12,2370
12,2894
12,1855
12,1560
12,2247
12,1984
12,2591
12,2375
12,922
12,1929
12,939
12,2063
12,1958
12,1183
14,170
14,1576
13,1690
14,1552
14,1586
14,1468
12,2300
12,2630
12,2481
12,2414
12,2620
12,2425
12,2580
12,2571
12,2186
12,2161
12,2155
12,2191
12,2749
12,2189
12,2477
12,2225
12,2188
12,2565
12,2716
12,2682
12,2720
12,2212
12,2740
12,2583
12,2704
12,2717
12,1971
12,2244
12,1861
12,2672
12,2785
12,2502
12,2763
12,2482
12,2194
12,1966
12,2766
12,2545
12,2560
12,2692
12,2729
12,2434
12,487
12,2479
12,2492
12,2458
12,2469
12,2423
12,2610
12,2521
12,2573
12,2197
12,2427
12,523
12,2519
12,1463
12,2761
12,2153
12,2584
12,2760
12,2599
12,511
12,2465
12,2860
12,2431
12,2532
12,2440
12,2736
12,2467
12,2422
12,2412
12,2235
12,2424
12,2232
12,2511
12,2501
12,2452
12,2437
12,2426
12,2461
12,2595
12,2416
12,2659
12,2597
12,2181
12,2644
12,2524
12,2463
12,2757
12,1355
12,2497
12,194
12,2149
12,2449
12,2553
12,1004
12,2168
12,2420
12,554
12,2435
12,2445
12,2538
12,2206
12,2152
12,2504
12,2433
12,2457
12,2006
12,2451
12,2176
12,2752
12,2621
12,2554
12,2459
12,2491
12,2429
12,2026
12,2636
12,1419
12,2506
12,1329
12,2419
12,2418
12,2204
12,2570
12,2758
